Label,Text,%digits,%max_digit_skip_0,%ascii,length,first_character_ascii,first_character_digit
1,"52/9 Huỳnh Thiện Lộc, Phường Hoà Thạnh, Quận Tân phú, TP Hồ Chí Minh
",0.043478260869565216,0.07246376811594203,0.5217391304347826,69,0,1
1,"33 Trần Văn Danh, Phường 13, Quận Tân Bình, TP Hồ Chí Minh
",0.06779661016949153,0.06779661016949153,0.5084745762711864,59,0,1
1,"117 Đường số 3, Cư xá Đô Thành, Phường 04, Quận 3, TP Hồ Chí Minh
",0.10606060606060606,0.13636363636363635,0.3787878787878788,66,0,1
1,"B4/15C ấp 2, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP Hồ Chí Minh
",0.06557377049180328,0.11475409836065574,0.4918032786885246,61,1,0
1,"81/8 Lê Liễu, Phường Tân Quý, Quận Tân phú, TP Hồ Chí Minh
",0.05084745762711865,0.13559322033898305,0.4745762711864407,59,0,1
1,"153 Trần Văn Quang, Phường 10, Quận Tân Bình, TP Hồ Chí Minh
",0.08196721311475409,0.06557377049180328,0.5081967213114754,61,0,1
1,"211 Ter, Điện Biên Phủ, Phường 06, Quận 3, TP Hồ Chí Minh
",0.10344827586206896,0.15517241379310345,0.4482758620689655,58,0,1
1,"203/38/34 Đường Trục, Phường 13, Quận Bình Thạnh, TP Hồ Chí Minh
",0.13846153846153847,0.18461538461538463,0.4307692307692308,65,0,1
1,"133/32/15/2A Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, TP Hồ Chí Minh
",0.10126582278481013,0.17721518987341772,0.4810126582278481,79,0,1
1,"Lầu 15, Tòa Nhà Vincom Center, 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh
",0.056818181818181816,0.10227272727272728,0.5227272727272727,88,1,0
1,"Số 86 Đường Nguyễn Du, Phường 7, Quận Gò Vấp, TP Hồ Chí Minh
",0.04918032786885246,0.08196721311475409,0.47540983606557374,61,1,0
1,"532/21/17 Kinh Dương Vương, Phường Bình Trị Đông B, Quận Bình Tân, TP Hồ Chí Minh
",0.08536585365853659,0.12195121951219512,0.47560975609756095,82,0,1
1,"Số 25 - 16B4 đường Nguyễn Văn Lộc, Khu đô thị Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội
",0.05555555555555555,0.13333333333333333,0.43333333333333335,90,1,0
1,"Số 52, ngõ 545, phố Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội
",0.078125,0.0625,0.40625,64,1,0
1,"Số 205 Nguyễn Đình Thi, Phường Thuỵ Khuê, Quận Tây Hồ, Hà Nội
",0.04838709677419355,0.06451612903225806,0.4838709677419355,62,1,0
1,"Số 2+2A, ngách 25/8 Cự Lộc, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội
",0.07042253521126761,0.1267605633802817,0.4788732394366197,71,1,0
1,"Số 32, ngõ 477, đường Nguyễn Trãi, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội
",0.06097560975609756,0.08536585365853659,0.5121951219512195,82,1,0
1,"Số 5, ngõ 54, đường âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội
",0.047619047619047616,0.09523809523809523,0.38095238095238093,63,1,0
1,"Số 473 âu Cơ, Phường Nhật Tân, Quận Tây Hồ, Hà Nội
",0.058823529411764705,0.0784313725490196,0.4117647058823529,51,1,0
1,"Số 10, ngõ 76 Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội
",0.06451612903225806,0.06451612903225806,0.43548387096774194,62,1,0
1,"Số nhà 44, ngách 34/56, phố Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội
",0.07407407407407407,0.07407407407407407,0.48148148148148145,81,1,0
1,"Thôn Gốc Thông, Xóm Phú Hữu, Xã Minh Phú, Huyện Sóc Sơn, Hà Nội
",0.0,0.0,0.515625,64,1,0
1,"Số 42, ngõ 381, phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội
",0.0684931506849315,0.0547945205479452,0.4794520547945205,73,1,0
1,"Số 11E3, Tổ 25 TT Đại học Thương mại, đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
",0.052083333333333336,0.16666666666666666,0.4479166666666667,96,1,0
