Label,Text,%digits,%max_digit_skip_0,%ascii,length,first_character_ascii,first_character_digit
0,"Lê Trung Tĩnh
",0.0,0.0,0.6428571428571429,14,1,0
0,"Lê Vĩnh Trương
",0.0,0.0,0.5625,16,1,0
0,"phanHong Chuong
",0.0,0.0,0.875,16,1,0
0,"Nguyễn Quang Đức
",0.0,0.0,0.6470588235294118,17,1,0
0,"Đình văn quyết
",0.0,0.0,0.5333333333333333,15,1,0
0,"Manh Cuong Nguyen
",0.0,0.0,0.8333333333333334,18,1,0
0,"Nguyễn Hoàng Anh
",0.0,0.0,0.7058823529411765,17,1,0
0,"Phạm Sông Thu
",0.0,0.0,0.6428571428571429,14,1,0
0,"Nguyễn Việt Thắng
",0.0,0.0,0.6666666666666666,18,1,0
0,"Lê Ngọc Minh
",0.0,0.0,0.6153846153846154,13,1,0
0,"Nguyễn Thị Hợi
",0.0,0.0,0.6,15,1,0
0,"Văn Toán
",0.0,0.0,0.5555555555555556,9,1,0
0,"Steve  Mai
",0.0,0.0,0.7272727272727273,11,1,0
0,"Lê Ngọc Mai
",0.0,0.0,0.5833333333333334,12,1,0
0,"Thanh van
",0.0,0.0,0.8,10,1,0
0,"Pham Kien Thuc
",0.0,0.0,0.8,15,1,0
0,"LE QUANG
",0.0,0.0,0.7777777777777778,9,1,0
0,"Nguyễn Trần Đăng Phú
",0.0,0.0,0.5714285714285714,21,1,0
0,"Nuyen huy Tuyen
",0.0,0.0,0.8125,16,1,0
0,"Cater2Yourflavor llc
",0.047619047619047616,0.047619047619047616,0.8571428571428571,21,1,0
0,"Huỳnh Phi Long
",0.0,0.0,0.7333333333333333,15,1,0
0,"Nguyen Quang A
",0.0,0.0,0.8,15,1,0
0,"Điêu Chính Lữ
",0.0,0.0,0.5,14,1,0
0,"Cao Xuân Hồng Lĩnh
",0.0,0.0,0.631578947368421,19,1,0
0,"Vũ Thị Phương Anh
",0.0,0.0,0.5555555555555556,18,1,0
0,"Le Ngoc Luong
",0.0,0.0,0.7857142857142857,14,1,0
0,"Chien Tran Tien
",0.0,0.0,0.8125,16,1,0
0,"Thụy My
",0.0,0.0,0.625,8,1,0
0,"Mai Hữu Duy
",0.0,0.0,0.6666666666666666,12,1,0
